
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005837                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       23192923                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.986860                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                               60671                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.002616                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 56305751                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                36378309                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        21291372                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1679089                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   899427                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           827057                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    22299333                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       839441                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    897217                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1331                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          142843                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        2850063                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        914114                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       335604                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       101563                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies          416                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions        22777                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1               751                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2              7630                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3               981                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4              9845                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5               423                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                80                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              3655                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                25                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1             5125                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2            23875                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3             3476                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4            29025                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5             1533                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6              231                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             9624                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8              355                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
